2026-09-03 14:32:31.072 INFO  [main] c.p.m.t.validate.JsonSchemaValidator - JsonSchemaValidator initialized with 34 schema(s): [Rule-AI-Agent, Rule-AI-Tool, Rule-Async-JobScheduler, Rule-Async-QueueProcessor, Rule-ClassMetadata, Rule-Connect-GenerativeAI, Rule-Connect-REST, Rule-CorrType, Rule-Decision-DataSet, Rule-Declare-DecisionTable, Rule-Declare-Pages, Rule-Edit-Validate, Rule-Notification, Rule-Obj-Activity, Rule-Obj-AttachmentCategory, Rule-Obj-CaseType, Rule-Obj-Class, Rule-Obj-Corr, Rule-Obj-FieldValue, Rule-Obj-Flow, Rule-Obj-FlowAction, Rule-Obj-Model, Rule-Obj-Property, Rule-Obj-Report-Definition, Rule-Obj-ServiceLevel, Rule-Obj-Validate, Rule-Obj-When, Rule-RuleSet-Branch, Rule-Service-MCP, Rule-Test-Application-BusinessAction, Rule-Test-Application-Case, Rule-Test-Unit-Case, Rule-UI-Theme, Rule-UI-View]
2026-09-03 14:32:31.072 INFO  [main] c.p.m.t.v.RulePayloadValidator - v2 RulePayloadValidator initialized with schema-based validation. Supported types: [Rule-AI-Agent, Rule-AI-Tool, Rule-Async-JobScheduler, Rule-Async-QueueProcessor, Rule-ClassMetadata, Rule-Connect-GenerativeAI, Rule-Connect-REST, Rule-CorrType, Rule-Decision-DataSet, Rule-Declare-DecisionTable, Rule-Declare-Pages, Rule-Edit-Validate, Rule-Notification, Rule-Obj-Activity, Rule-Obj-AttachmentCategory, Rule-Obj-CaseType, Rule-Obj-Class, Rule-Obj-Corr, Rule-Obj-FieldValue, Rule-Obj-Flow, Rule-Obj-FlowAction, Rule-Obj-Model, Rule-Obj-Property, Rule-Obj-Report-Definition, Rule-Obj-ServiceLevel, Rule-Obj-Validate, Rule-Obj-When, Rule-RuleSet-Branch, Rule-Service-MCP, Rule-Test-Application-BusinessAction, Rule-Test-Application-Case, Rule-Test-Unit-Case, Rule-UI-Theme, Rule-UI-View]
2026-09-03 14:32:31.091 INFO  [main] com.pega.mcp.tools.SkillLoader - Loading skills from filesystem: C:\Users\sankh\.claude\plugins\cache\Pega\pega-infinity-authoring\0.0.3\resources\pega-skills
2026-09-03 14:32:32.454 INFO  [main] com.pega.mcp.tools.SkillLoader - Loaded 820 effective skills from 1 source(s) using duplicate policy BASE_WINS (overrides=0, ignored=0)
2026-09-03 14:32:32.563 INFO  [main] com.pega.mcp.tools.SkillTools - Loaded 820 skills from config (pega.skills.path=C:/Users/sankh/.claude/plugins/cache/Pega/pega-infinity-authoring/0.0.3/resources/pega-skills), duplicate-policy=BASE_WINS source
2026-09-03 14:32:32.573 INFO  [main] com.pega.mcp.tools.SkillTools - Skills graph loaded: 786 nodes, 306 edges — search-skills available
2026-09-03 14:32:33.387 INFO  [main] c.p.m.p.SkillPromptConfiguration - Registered 0 dynamic MCP prompts from skills
2026-09-03 14:32:34.371 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-09-03 14:32:34.384 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 28
2026-09-03 14:32:34.387 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-09-03 14:32:34.387 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-09-03 14:32:34.390 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-09-03 14:32:34.390 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-09-03 14:32:34.825 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2025-11-25, Capabilities: ClientCapabilities[experimental=null, roots=RootCapabilities[listChanged=true], sampling=null, elicitation=Elicitation[form=null, url=null]], Info: Implementation[name=claude-code, title=Claude Code, version=2.1.247]
